         16168406 function calls (16154416 primitive calls) in 13.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1006    0.085    0.000    0.085    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.084    0.084 geometric.py:16(<module>)
        2    0.000    0.000    0.083    0.041 __init__.py:3233(_call_aside)
      677    0.010    0.000    0.083    0.000 decorator.py:162(make)
        1    0.000    0.000    0.083    0.083 __init__.py:3250(_initialize_master_working_set)
        1    0.000    0.000    0.082    0.082 figureoptions.py:6(<module>)
        1    0.000    0.000    0.081    0.081 _subplots.py:1(<module>)
        1    0.000    0.000    0.080    0.080 qt_compat.py:12(<module>)
      826    0.007    0.000    0.080    0.000 <frozen importlib._bootstrap>:870(_find_spec)
        1    0.001    0.001    0.080    0.080 qt_compat.py:65(_setup_pyqt5)
        1    0.000    0.000    0.073    0.073 __init__.py:95(<module>)
       11    0.001    0.000    0.071    0.006 artist.py:1349(pprint_setters)
   289915    0.070    0.000    0.070    0.000 value.py:135(is_instruction)
       18    0.000    0.000    0.069    0.004 __init__.py:611(add_entry)
      821    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      821    0.004    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      336    0.001    0.000    0.065    0.000 __init__.py:2037(find_on_path)
        1    0.000    0.000    0.062    0.062 contour.py:3(<module>)
     1261    0.015    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
   187381    0.058    0.000    0.058    0.000 {method 'copy' of 'dict' objects}
   215050    0.057    0.000    0.057    0.000 {method 'update' of 'dict' objects}
     3691    0.019    0.000    0.057    0.000 random.py:285(sample)
        1    0.000    0.000    0.056    0.056 _axes.py:1(<module>)
        1    0.000    0.000    0.055    0.055 env.py:133(reset)
        1    0.000    0.000    0.053    0.053 env.py:144(__init__)
      220    0.001    0.000    0.053    0.000 sre_parse.py:844(parse)
      339    0.004    0.000    0.052    0.000 decorator.py:259(decorator)
      317    0.002    0.000    0.052    0.000 overrides.py:154(decorator)
      937    0.010    0.000    0.051    0.000 inspect.py:1089(getfullargspec)
     1713    0.011    0.000    0.051    0.000 digraph.py:577(add_edge)
        1    0.000    0.000    0.050    0.050 text.py:3(<module>)
   103129    0.050    0.000    0.050    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.049    0.049 __init__.py:101(<module>)
  627/220    0.002    0.000    0.049    0.000 sre_parse.py:407(_parse_sub)
     2472    0.028    0.000    0.048    0.000 inspect.py:614(cleandoc)
  809/230    0.016    0.000    0.048    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.047    0.047 _spherical_voronoi.py:6(<module>)
      220    0.001    0.000    0.047    0.000 sre_compile.py:542(_code)
   387824    0.047    0.000    0.047    0.000 ffi.py:278(_dispose)
        1    0.000    0.000    0.046    0.046 distance.py:72(<module>)
        1    0.000    0.000    0.046    0.046 collections.py:10(<module>)
     2246    0.002    0.000    0.044    0.000 inspect.py:595(getdoc)
 1615/220    0.011    0.000    0.041    0.000 sre_compile.py:64(_compile)
      990    0.005    0.000    0.041    0.000 inspect.py:2183(_signature_from_callable)
       12    0.004    0.000    0.040    0.003 artist.py:1277(_get_setters_and_targets)
57961/57959    0.019    0.000    0.040    0.000 {built-in method builtins.isinstance}
   327337    0.039    0.000    0.039    0.000 {built-in method builtins.hash}
     2887    0.010    0.000    0.039    0.000 digraph.py:381(add_node)
    27371    0.010    0.000    0.036    0.000 {method 'get' of 'dict' objects}
      677    0.007    0.000    0.036    0.000 decorator.py:93(__init__)
        1    0.000    0.000    0.036    0.036 requirements.py:4(<module>)
      212    0.000    0.000    0.035    0.000 decorators.py:29(not_implemented_for)
        1    0.000    0.000    0.035    0.035 __init__.py:569(_build_master)
        1    0.000    0.000    0.035    0.035 __init__.py:556(__init__)
      987    0.013    0.000    0.035    0.000 inspect.py:2102(_signature_from_function)
     1931    0.006    0.000    0.033    0.000 {method 'remove' of 'list' objects}
     3691    0.012    0.000    0.033    0.000 _dtype.py:319(_name_get)
      640    0.002    0.000    0.032    0.000 __init__.py:2124(distributions_from_metadata)
      408    0.002    0.000    0.032    0.000 artist.py:1241(get_valid_values)
        4    0.000    0.000    0.031    0.008 __init__.py:2(<module>)
        1    0.000    0.000    0.031    0.031 __init__.py:189(<module>)
        1    0.000    0.000    0.030    0.030 rcsetup.py:15(<module>)
      464    0.002    0.000    0.030    0.000 {built-in method builtins.sorted}
     1614    0.001    0.000    0.029    0.000 artist.py:1319(is_alias)
       16    0.000    0.000    0.029    0.002 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.027    0.027 _internal.py:6(<module>)
        1    0.000    0.000    0.026    0.026 fontconfig_pattern.py:6(<module>)
       27    0.000    0.000    0.026    0.001 __init__.py:973(rc_params_from_file)
189610/188774    0.024    0.000    0.024    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.024    0.024 index_tricks.py:1(<module>)
        2    0.000    0.000    0.024    0.012 __init__.py:45(<module>)
        1    0.000    0.000    0.024    0.024 platform.py:10(<module>)
   187019    0.023    0.000    0.023    0.000 value.py:325(__iter__)
        1    0.000    0.000    0.023    0.023 core.py:12(<module>)
       12    0.000    0.000    0.023    0.002 artist.py:1193(__init__)
       12    0.001    0.000    0.023    0.002 artist.py:1213(get_aliases)
     4081    0.023    0.000    0.023    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.023    0.023 core.py:151(load_base_library)
        1    0.000    0.000    0.023    0.023 core.py:182(read_style_directory)
      797    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      714    0.013    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.022    0.022 pyparsing.py:96(<module>)
       39    0.001    0.000    0.022    0.001 __init__.py:357(namedtuple)
     3543    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       27    0.004    0.000    0.022    0.001 __init__.py:908(_rc_params_in_file)
     7891    0.013    0.000    0.021    0.000 abc.py:180(__instancecheck__)
   103095    0.021    0.000    0.021    0.000 {built-in method _ctypes.byref}
      320    0.001    0.000    0.021    0.000 __init__.py:2026(_by_version)
     3691    0.006    0.000    0.021    0.000 numerictypes.py:365(issubdtype)
        1    0.000    0.000    0.021    0.021 multiarray.py:7(<module>)
      320    0.002    0.000    0.021    0.000 __init__.py:2578(from_location)
    12420    0.008    0.000    0.020    0.000 enum.py:267(__call__)
     10/9    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap>:622(_load_backward_compatible)
     1792    0.003    0.000    0.020    0.000 __init__.py:774(__setitem__)
        6    0.000    0.000    0.020    0.003 __init__.py:35(load_module)
      518    0.000    0.000    0.019    0.000 re.py:179(search)
     7224    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     4343    0.007    0.000    0.019    0.000 enum.py:803(__and__)
      320    0.001    0.000    0.019    0.000 __init__.py:2032(<listcomp>)
        1    0.002    0.002    0.019    0.019 env.py:171(get_blocks)
      972    0.001    0.000    0.018    0.000 version.py:24(parse)
        1    0.000    0.000    0.018    0.018 overrides.py:1(<module>)
    78/66    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
    78/66    0.008    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
     1308    0.007    0.000    0.017    0.000 version.py:198(__init__)
     4218    0.017    0.000    0.017    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.017    0.008 __init__.py:7(<module>)
       26    0.000    0.000    0.016    0.001 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.016    0.016 specifiers.py:4(<module>)
        1    0.000    0.000    0.016    0.016 random_graphs.py:11(<module>)
        1    0.000    0.000    0.015    0.015 _axes.py:97(Axes)
     1428    0.007    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.015    0.015 cm.py:19(<module>)
        1    0.000    0.000    0.015    0.015 pyparsing.py:75(<module>)
        1    0.000    0.000    0.015    0.015 textpath.py:1(<module>)
        1    0.000    0.000    0.014    0.014 algebraicconnectivity.py:9(<module>)
        1    0.000    0.000    0.014    0.014 kdtree.py:3(<module>)
     7382    0.008    0.000    0.014    0.000 numerictypes.py:293(issubclass_)
        1    0.000    0.000    0.014    0.014 defmatrix.py:1(<module>)
        1    0.000    0.000    0.014    0.014 specifiers.py:275(Specifier)
        3    0.000    0.000    0.014    0.005 __init__.py:332(__init__)
        3    0.013    0.004    0.013    0.004 {built-in method _ctypes.dlopen}
      122    0.000    0.000    0.013    0.000 __init__.py:3277(<genexpr>)
        1    0.000    0.000    0.013    0.013 __init__.py:219(<module>)
      320    0.001    0.000    0.013    0.000 __init__.py:2565(__init__)
      121    0.000    0.000    0.013    0.000 __init__.py:2776(activate)
    23656    0.012    0.000    0.013    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.013    0.013 patches.py:1(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:635(<module>)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 lines.py:4(<module>)
     1506    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:403(cached)
      150    0.000    0.000    0.012    0.000 cm.py:81(_generate_cmap)
     3127    0.007    0.000    0.012    0.000 inspect.py:2452(__init__)
        1    0.000    0.000    0.012    0.012 __init__.py:109(<module>)
       64    0.002    0.000    0.012    0.000 colors.py:729(from_list)
        1    0.000    0.000    0.012    0.012 graphml.py:45(<module>)
    14896    0.005    0.000    0.012    0.000 sre_parse.py:253(get)
      336    0.001    0.000    0.012    0.000 __init__.py:1325(safe_version)
        1    0.000    0.000    0.011    0.011 defchararray.py:17(<module>)
        3    0.000    0.000    0.011    0.004 __init__.py:15(<module>)
      792    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.011    0.011 artist.py:1(<module>)
14747/14739    0.008    0.000    0.011    0.000 {method 'join' of 'str' objects}
       72    0.001    0.000    0.011    0.000 __init__.py:1525(_preprocess_data)
        1    0.000    0.000    0.011    0.011 _base.py:1(<module>)
      841    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:147(__enter__)
      714    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.011    0.011 decorator.py:decorator-gen-535>:1(_random_state)
     1409    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       75    0.000    0.000    0.011    0.000 decorators.py:412(py_random_state)
      321    0.001    0.000    0.010    0.000 textwrap.py:414(dedent)
     1568    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.010    0.010 pyparsing.py:6379(pyparsing_common)
     7224    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     3691    0.007    0.000    0.010    0.000 random.py:223(_randbelow)
        1    0.000    0.000    0.010    0.010 mathtext.py:16(<module>)
        1    0.000    0.000    0.009    0.009 linalg.py:10(<module>)
        1    0.000    0.000    0.009    0.009 cElementTree.py:3(<module>)
        1    0.000    0.000    0.009    0.009 basic.py:7(<module>)
    26431    0.009    0.000    0.009    0.000 {built-in method builtins.min}
    58700    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.009    0.009 __init__.py:10(<module>)
     3433    0.003    0.000    0.009    0.000 {built-in method builtins.any}
      714    0.009    0.000    0.009    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.000    0.000    0.009    0.005 decorator.py:33(<module>)
     1045    0.002    0.000    0.009    0.000 colors.py:149(to_rgba)
      447    0.001    0.000    0.009    0.000 sre_compile.py:223(_compile_charset)
      424    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.009    0.009 image.py:4(<module>)
     1030    0.006    0.000    0.009    0.000 inspect.py:2732(__init__)
        1    0.000    0.000    0.009    0.009 ElementTree.py:34(<module>)
        1    0.000    0.000    0.009    0.009 parser.py:5(<module>)
        1    0.000    0.000    0.009    0.009 axis.py:3(<module>)
        1    0.000    0.000    0.009    0.009 dag.py:20(<module>)
     3767    0.008    0.000    0.008    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.008    0.008 py3k.py:4(<module>)
12448/12354    0.007    0.000    0.008    0.000 {built-in method builtins.issubclass}
      656    0.001    0.000    0.008    0.000 version.py:74(__init__)
     1546    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.008    0.008 decorators.py:1(<module>)
        1    0.000    0.000    0.008    0.008 feedparser.py:20(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:124(<module>)
        1    0.000    0.000    0.008    0.008 async_vector_env.py:1(<module>)
    12411    0.007    0.000    0.008    0.000 enum.py:517(__new__)
      881    0.002    0.000    0.008    0.000 copy.py:66(copy)
    11809    0.008    0.000    0.008    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.008    0.008 backend_agg.py:21(<module>)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
        1    0.000    0.000    0.008    0.008 subprocess.py:42(<module>)
     2155    0.004    0.000    0.008    0.000 value.py:391(_next)
        1    0.000    0.000    0.008    0.008 connectivity.py:4(<module>)
      287    0.002    0.000    0.008    0.000 overrides.py:72(verify_matching_signatures)
        2    0.000    0.000    0.008    0.004 function_base.py:1(<module>)
       19    0.000    0.000    0.008    0.000 rcsetup.py:866(validate_cycler)
       87    0.000    0.000    0.008    0.000 __init__.py:2191(_handle_ns)
       27    0.000    0.000    0.008    0.000 pyparsing.py:3276(__init__)
    16807    0.008    0.000    0.008    0.000 sre_parse.py:232(__next)
        1    0.000    0.000    0.008    0.008 __init__.py:75(<module>)
        1    0.000    0.000    0.007    0.007 category.py:12(<module>)
      656    0.003    0.000    0.007    0.000 version.py:131(_legacy_cmpkey)
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
      121    0.000    0.000    0.007    0.000 __init__.py:2290(fixup_namespace_packages)
       31    0.000    0.000    0.007    0.000 __init__.py:771(__init__)
       31    0.000    0.000    0.007    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.007    0.007 font_manager.py:14(<module>)
      705    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       82    0.000    0.000    0.007    0.000 docstring.py:113(dedent_interpd)
      447    0.005    0.000    0.007    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.007    0.007 version.py:4(<module>)
      492    0.001    0.000    0.007    0.000 rcsetup.py:374(validate_color)
2622/1239    0.005    0.000    0.007    0.000 sre_parse.py:173(getwidth)
      792    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
     2822    0.005    0.000    0.007    0.000 graph.py:663(nodes)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
       85    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
        1    0.000    0.000    0.006    0.006 edge_augmentation.py:23(<module>)
        1    0.000    0.000    0.006    0.006 misc.py:10(<module>)
        1    0.000    0.000    0.006    0.006 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.006    0.006 flinalg.py:5(<module>)
      677    0.004    0.000    0.006    0.000 decorator.py:145(update)
        1    0.000    0.000    0.006    0.006 inspect.py:27(<module>)
      700    0.003    0.000    0.006    0.000 functools.py:44(update_wrapper)
     1289    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.006    0.006 npyio.py:1(<module>)
      167    0.000    0.000    0.006    0.000 rcsetup.py:68(f)
        1    0.000    0.000    0.006    0.006 closer.py:1(<module>)
        1    0.000    0.000    0.006    0.006 Image.py:27(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:14(<module>)
     8250    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     1011    0.006    0.000    0.006    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      373    0.003    0.000    0.006    0.000 colors.py:185(_to_rgba_no_colorcycle)
        7    0.000    0.000    0.006    0.001 enum.py:604(_convert)
       85    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1216(find_loader)
