         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
     2801    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 _base.py:410(_AxesBase)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-103>:1(_random_state)
      986    0.000    0.000    0.000    0.000 reportviews.py:167(__init__)
       31    0.000    0.000    0.000    0.000 __init__.py:1212(_fixupParents)
     2608    0.000    0.000    0.000    0.000 inspect.py:2510(annotation)
      126    0.000    0.000    0.000    0.000 colors.py:655(__init__)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5079(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-92>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-77>:1(_random_state)
     19/4    0.000    0.000    0.000    0.000 pyparsing.py:3319(streamline)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-646>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2254(makeOptionalList)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-521>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-69>:1(_random_state)
        8    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 matfuncs.py:3(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1864(<listcomp>)
        1    0.000    0.000    0.000    0.000 random_clustered.py:11(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-159>:1(_not_implemented_for)
       32    0.000    0.000    0.000    0.000 __init__.py:1268(__init__)
        1    0.000    0.000    0.000    0.000 quiver.py:255(QuiverKey)
        1    0.000    0.000    0.000    0.000 release.py:30(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-65>:1(_random_state)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4259(__str__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-637>:1(_not_implemented_for)
      139    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       56    0.000    0.000    0.000    0.000 rcsetup.py:71(<listcomp>)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-81>:1(_random_state)
        1    0.000    0.000    0.000    0.000 astar.py:12(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:684(gen_candidates)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-137>:1(_not_implemented_for)
        9    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:677(NavigationToolbar2QT)
     1003    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-157>:1(_not_implemented_for)
       96    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
        2    0.000    0.000    0.000    0.000 rcsetup.py:77(<listcomp>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-127>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
        2    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
      533    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 box.py:23(__init__)
       85    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       53    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-105>:1(_random_state)
      120    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-613>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-195>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-125>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 nx_agraph.py:25(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-141>:1(_not_implemented_for)
        3    0.000    0.000    0.000    0.000 six.py:848(wrapper)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        4    0.000    0.000    0.000    0.000 core.py:122(doc_note)
        4    0.000    0.000    0.000    0.000 _version.py:7(<module>)
      220    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      432    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-119>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 kcomponents.py:4(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
      115    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
      797    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 numpy_utils.py:1(<module>)
       24    0.000    0.000    0.000    0.000 pathlib.py:51(parse_parts)
       15    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
        2    0.000    0.000    0.000    0.000 transforms.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-667>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-155>:1(_not_implemented_for)
       28    0.000    0.000    0.000    0.000 rcsetup.py:46(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-565>:1(_random_state)
      145    0.000    0.000    0.000    0.000 inspect.py:714(getmodule)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-523>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-645>:1(_random_state)
       10    0.000    0.000    0.000    0.000 rcsetup.py:345(validate_color_or_inherit)
        1    0.000    0.000    0.000    0.000 release.py:136(get_info)
        4    0.000    0.000    0.000    0.000 re.py:204(split)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
     1638    0.000    0.000    0.000    0.000 version.py:48(<lambda>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        2    0.000    0.000    0.000    0.000 decorator.py:240(decorator)
       84    0.000    0.000    0.000    0.000 __init__.py:2378(yield_lines)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4822(__init__)
        2    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-539>:1(_random_state)
        1    0.000    0.000    0.000    0.000 trees.py:9(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-223>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-147>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-610>:1(_open_file)
        1    0.000    0.000    0.000    0.000 legend_handler.py:553(__init__)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-413>:1(_not_implemented_for)
       29    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-627>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-145>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:3(<module>)
       39    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
      203    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3762(streamline)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        3    0.000    0.000    0.000    0.000 pathlib.py:1241(mkdir)
      160    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-96>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-197>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-88>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 exception.py:20(<module>)
        1    0.000    0.000    0.000    0.000 triads.py:12(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2400(extend_all)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-151>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 lgc.py:11(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-663>:1(_random_state)
        1    0.000    0.000    0.000    0.000 passmanagers.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1057(home)
      176    0.000    0.000    0.000    0.000 rcsetup.py:58(__call__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
     1956    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-409>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-650>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
      846    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 pyparsing.py:2398(__call__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-181>:1(_not_implemented_for)
      153    0.000    0.000    0.000    0.000 textwrap.py:479(prefixed_lines)
       26    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6744(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-411>:1(_not_implemented_for)
      115    0.000    0.000    0.000    0.000 warnings.py:468(__exit__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-482>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
     1261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1482(_setResultsName)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-615>:1(_open_file)
     1218    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-228>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 leda.py:10(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-95>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 lines.py:204(Line2D)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-153>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-234>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-116>:1(_not_implemented_for)
      120    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 dominance.py:11(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-149>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-100>:1(_not_implemented_for)
       27    0.000    0.000    0.000    0.000 locale.py:631(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-173>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-215>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3000(DistInfoDistribution)
       31    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-537>:1(_random_state)
        5    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:304(__call__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-99>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        9    0.000    0.000    0.000    0.000 pathlib.py:385(wrapped)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-207>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-91>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-459>:1(_random_state)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1358(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-177>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 contour.py:50(ContourLabeler)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-642>:1(_not_implemented_for)
       39    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-185>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-87>:1(_not_implemented_for)
       14    0.000    0.000    0.000    0.000 mixins.py:30(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 pathlib.py:382(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 euler.py:16(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:72(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:871(copy)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-191>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-209>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-143>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-631>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-629>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-219>:1(_not_implemented_for)
      164    0.000    0.000    0.000    0.000 colors.py:454(__init__)
        5    0.000    0.000    0.000    0.000 rcsetup.py:474(validate_mathtext_default)
        1    0.000    0.000    0.000    0.000 __init__.py:872(<dictcomp>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-665>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-227>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-233>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-115>:1(_not_implemented_for)
      306    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       75    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-621>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-231>:1(_not_implemented_for)
        9    0.000    0.000    0.000    0.000 datetime.py:356(__new__)
      969    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-481>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 __init__.py:735(<listcomp>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-573>:1(_open_file)
       42    0.000    0.000    0.000    0.000 pyparsing.py:944(copy)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-623>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-179>:1(_not_implemented_for)
        3    0.000    0.000    0.000    0.000 __init__.py:722(deprecate)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-171>:1(_not_implemented_for)
      937    0.000    0.000    0.000    0.000 inspect.py:2821(return_annotation)
       19    0.000    0.000    0.000    0.000 __init__.py:1382(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-221>:1(_not_implemented_for)
      317    0.000    0.000    0.000    0.000 overrides.py:112(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-563>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-183>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-471>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-225>:1(_not_implemented_for)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-579>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-469>:1(_not_implemented_for)
       33    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
       82    0.000    0.000    0.000    0.000 sre_parse.py:784(_parse_flags)
     1690    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-633>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-509>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-161>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 formsubplottool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-617>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-575>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-108>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-112>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-133>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 _parser.py:575(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-239>:1(_not_implemented_for)
     1010    0.000    0.000    0.000    0.000 inspect.py:2817(parameters)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3213(_Backend)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-193>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-649>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-201>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:217(FigureCanvasQT)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-213>:1(_not_implemented_for)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-164>:1(_not_implemented_for)
       55    0.000    0.000    0.000    0.000 rcsetup.py:982(_validate_linestyle)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-237>:1(_not_implemented_for)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-609>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:728(RcParams)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-653>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-135>:1(_not_implemented_for)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1620(preParse)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-175>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-203>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-205>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-211>:1(_not_implemented_for)
      242    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-339>:1(_not_implemented_for)
        3    0.000    0.000    0.000    0.000 __init__.py:676(__call__)
      729    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-569>:1(_random_state)
        1    0.000    0.000    0.000    0.000 subprocess.py:766(__exit__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_configdir)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-217>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-199>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 colorbar.py:312(_ColorbarMappableDummy)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-189>:1(_not_implemented_for)
        2    0.000    0.000    0.000    0.000 deprecation.py:374(_make_keyword_only)
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-187>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-107>:1(_not_implemented_for)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-577>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-472>:1(_not_implemented_for)
        2    0.000    0.000    0.000    0.000 pyparsing.py:5310(delimitedList)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2160(__radd__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-277>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-385>:1(_open_file)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-581>:1(_open_file)
        1    0.000    0.000    0.000    0.000 beamsearch.py:9(<module>)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        6    0.000    0.000    0.000    0.000 deprecation.py:354(<listcomp>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-111>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:593(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-583>:1(_open_file)
      308    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1145(Arrow)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
        1    0.000    0.000    0.000    0.000 collections.py:1023(PolyCollection)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-543>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-571>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 blocking_input.py:20(<module>)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-641>:1(_not_implemented_for)
      712    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-669>:1(_random_state)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
       44    0.000    0.000    0.000    0.000 pyparsing.py:4264(<genexpr>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
       10    0.000    0.000    0.000    0.000 value.py:73(__str__)
        1    0.000    0.000    0.000    0.000 collections.py:1137(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-55>:1(_random_state)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-397>:1(_random_state)
        1    0.000    0.000    0.000    0.000 patches.py:2455(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 collections.py:1668(EllipseCollection)
        1    0.000    0.000    0.000    0.000 __init__.py:547(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-319>:1(_random_state)
       54    0.000    0.000    0.000    0.000 inspect.py:505(_is_wrapper)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1376(MouseButton)
      324    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-619>:1(_open_file)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
     1298    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-427>:1(_not_implemented_for)
        2    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-671>:1(_open_file)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-533>:1(_random_state)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-337>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-381>:1(_open_file)
       31    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-517>:1(_random_state)
       48    0.000    0.000    0.000    0.000 posixpath.py:168(islink)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-656>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1535(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 patches.py:3936(FancyArrowPatch)
        6    0.000    0.000    0.000    0.000 patches.py:1857(<listcomp>)
        1    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-441>:1(_not_implemented_for)
       92    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 spines.py:11(Spine)
