         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.095    0.095 contour.py:3(<module>)
     3701    0.061    0.000    0.093    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      821    0.001    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
    41983    0.040    0.000    0.088    0.000 ffi.py:209(__str__)
        1    0.000    0.000    0.087    0.087 figureoptions.py:6(<module>)
      821    0.005    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.000    0.000    0.086    0.086 qt_compat.py:12(<module>)
        1    0.000    0.000    0.085    0.085 qt_compat.py:65(_setup_pyqt5)
      317    0.003    0.000    0.081    0.000 overrides.py:154(decorator)
        1    0.000    0.000    0.080    0.080 __init__.py:101(<module>)
        1    0.000    0.000    0.080    0.080 geometric.py:16(<module>)
        2    0.000    0.000    0.079    0.040 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.079    0.079 __init__.py:3250(_initialize_master_working_set)
     1261    0.019    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.074    0.074 text.py:3(<module>)
     2472    0.041    0.000    0.072    0.000 inspect.py:614(cleandoc)
        1    0.000    0.000    0.068    0.068 __init__.py:95(<module>)
       18    0.000    0.000    0.067    0.004 __init__.py:611(add_entry)
     2246    0.004    0.000    0.066    0.000 inspect.py:595(getdoc)
      937    0.012    0.000    0.065    0.000 inspect.py:1089(getfullargspec)
        1    0.000    0.000    0.063    0.063 collections.py:10(<module>)
      336    0.001    0.000    0.063    0.000 __init__.py:2037(find_on_path)
      220    0.002    0.000    0.062    0.000 sre_parse.py:844(parse)
     3701    0.020    0.000    0.058    0.000 random.py:285(sample)
       12    0.006    0.000    0.057    0.005 artist.py:1277(_get_setters_and_targets)
  627/220    0.003    0.000    0.057    0.000 sre_parse.py:407(_parse_sub)
      220    0.001    0.000    0.056    0.000 sre_compile.py:542(_code)
      339    0.004    0.000    0.056    0.000 decorator.py:259(decorator)
      990    0.007    0.000    0.055    0.000 inspect.py:2183(_signature_from_callable)
  809/230    0.020    0.000    0.055    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.051    0.051 rcsetup.py:15(<module>)
    41984    0.039    0.000    0.049    0.000 ffi.py:184(__init__)
    41983    0.021    0.000    0.048    0.000 common.py:20(_decode_string)
 1615/220    0.013    0.000    0.047    0.000 sre_compile.py:64(_compile)
   259529    0.047    0.000    0.047    0.000 common.py:34(_is_shutting_down)
      987    0.017    0.000    0.046    0.000 inspect.py:2102(_signature_from_function)
